,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
0,137.0,2019-06-29 15:16:09,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/XDRcSddYQ4,16.0
1,140.0,2019-06-29 15:16:03,2.0,0.09166666666666666,positive,0.45,"@NicWebster13 @GrantWahl If true, it seems odd the WNT home jersey has smashed sales records and Nike is now sellin… https://t.co/DWXjOIe4XW",21.0
2,137.0,2019-06-29 15:16:01,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/LuGSS0qs14,16.0
3,137.0,2019-06-29 15:15:54,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/4UmZHE0Wkc,16.0
4,137.0,2019-06-29 15:15:50,0.0,0.0,neutral,0.0,"~ REDUCED! ~
Check out HURLEY ~ Nike Dri-Fit Outback Hat Gray L-XL -#elastic #snapback #hat #baseball #cap - NWT… https://t.co/fmvBpK5LVZ",20.0
5,140.0,2019-06-29 15:15:49,1.0,0.0,neutral,0.0,"Cop or Pass?
・・・
@sizeofficial Exclusive Nike Shox TL ‘Viotech’. Launching 06/07/19
-
#SizeOfficial#size #NikeShoxT… https://t.co/jB7v7pND6L",12.0
6,137.0,2019-06-29 15:15:47,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/3ylvMY86Dl,16.0
7,137.0,2019-06-29 15:15:33,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/ZQUAHtkCTE,16.0
8,83.0,2019-06-29 15:15:31,0.0,0.0,neutral,0.0,"Nike Women's Air Foamposite One 'USA' - July 1, 2019 |$230| https://t.co/GAhOsecpW7",12.0
9,137.0,2019-06-29 15:15:25,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/CVBYWWP4aK,16.0
10,137.0,2019-06-29 15:15:20,0.0,0.13636363636363635,positive,0.45454545454545453,"New Era Houston Oilers SnapBack, My Hero Academia Shoto Todoroki T-Shirt, LeBron 3 Houston Oilers shoes #outfits… https://t.co/SsFv9wubZP",18.0
11,82.0,2019-06-29 15:15:18,0.0,0.0,neutral,0.0,Nike Official Unveils Giannis Antetokounmpo's Zoom Freak 1 https://t.co/ETFNmIPrMG,9.0
12,137.0,2019-06-29 15:15:16,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/WyJrTLXDHt,16.0
13,114.0,2019-06-29 15:15:08,1.0,0.0,neutral,0.0,@RealMattCouch Of course not. She is sponsored by Nike. Nike hates Trump. Expect an ad a la Kapernick any day now.,21.0
14,133.0,2019-06-29 15:15:08,0.0,0.33,positive,0.72,"The Air Jordan 1 Retro High OG is yours. Share your latest pick up with your friends.
https://t.co/7Cq1EiYk4c https://t.co/Gt2fOaQGpC",18.0
15,103.0,2019-06-29 15:15:06,1.0,0.0,neutral,0.1,"@JackStraughan10 Yeah there is big rumours it could be nike . 

I dont mind nike adidas is just a fav .",21.0
16,137.0,2019-06-29 15:14:57,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/D5rQ9uMXNW,16.0
17,42.0,2019-06-29 15:14:50,0.0,0.0,neutral,0.0,Facts 😭😭 Nike dunk https://t.co/WJ5EzziB6D,5.0
18,137.0,2019-06-29 15:14:49,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/YK8t20m8Bu,16.0
19,137.0,2019-06-29 15:14:41,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/4oz3jjEEGK,16.0
20,17.0,2019-06-29 15:14:40,1.0,0.0,neutral,0.0,@WhyPreeLdn *Nike,2.0
21,76.0,2019-06-29 15:14:19,0.0,0.0,neutral,0.3,"NIKE W Blazer Low Le, Chaussures de Basketball Femme https://t.co/L7oRI0lDzX",10.0
22,130.0,2019-06-29 15:14:09,0.0,0.09833333333333334,positive,0.44333333333333336,"Youth Sizes 7Y via Nike US 
GS Air Jordan 1 High Retro OG ""Black Gym Red"" with free shipping  

BUY HERE:… https://t.co/d2CTUKFj26",23.0
23,85.0,2019-06-29 15:14:07,1.0,0.0,neutral,0.0,@mersey_reds19 Adidas is my favourite but I think Nike would make a banging LFC kit 🔥,16.0
24,48.0,2019-06-29 15:14:05,1.0,0.0,neutral,0.0,@Samantha_ubs LOOOOOLLL 🤣🤣🤣 nike bien t ancetres,7.0
25,83.0,2019-06-29 15:13:59,0.0,0.1,positive,0.4,Sizes 12+ direct at Nikestore -&gt; https://t.co/yP5e9Lh8MD https://t.co/eauWoHeJTe,8.0
26,139.0,2019-06-29 15:13:58,0.0,0.1,positive,0.4,"So I told these mfs to be at my house by 2 OCLOCK And they didn’t pull up till damn near 4😑 anyways, Callie pulled… https://t.co/UORgy4WdZZ",26.0
27,137.0,2019-06-29 15:13:56,0.0,0.0,neutral,0.0,Nike Air Max 720 Color: Celestine Blue/Racer Blue-Metallic Silver-Team Orange Style Code: CK5033-400 Price: $180… https://t.co/x4UpsQUpZx,16.0
28,25.0,2019-06-29 15:13:46,0.0,-0.1,negative,0.1,Who got Nike military 10%,5.0
29,140.0,2019-06-29 15:13:33,0.0,0.4,positive,0.8,Free kids sports/fitness clinic  at Victor Valley Community College presented by Nike. Saturday and Sunday 8am to 1… https://t.co/pBRg1isVrk,20.0
