,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
0,68.0,2019-06-29 16:09:23,1.0,0.2857142857142857,positive,0.5357142857142857,@Jeremy_Danner He called him Kevin Kaepernick. Must be a joke right?,11.0
1,120.0,2019-06-29 16:04:10,0.0,0.0,neutral,0.0,Blacks were Targets in Hacking by Russia. It's Why Trump Targeted Blacks like Kaepernick and that Sons of Bitch Comment.,20.0
2,140.0,2019-06-29 16:03:08,0.0,0.0,neutral,0.0,Huh? I truly don’t understand this. Please help me understand why people have this thought process.  This is the sa… https://t.co/3Bpl3Vj2Z4,22.0
3,105.0,2019-06-29 16:01:40,0.0,0.0,neutral,0.0,AOC should invite Kaepernick as well and they could all have a flag burning!!🐂💩💩💩 https://t.co/1pMxFitRzb,15.0
4,140.0,2019-06-29 16:00:38,1.0,0.5,positive,0.5,@NattyD13 The tweeter uses curse words as if they somehow add more to the power of her opinion. They don’t. I’m not… https://t.co/vf9huJJFHU,23.0
5,104.0,2019-06-29 15:55:55,0.0,0.0,neutral,0.0,4) kneeled in support of Colin Kaepernick and the fight against police brutality https://t.co/5a5lrVcx8T,14.0
6,39.0,2019-06-29 15:51:38,0.0,0.25,positive,0.3,Is O.J. a better human than Kaepernick?,7.0
7,71.0,2019-06-29 15:49:09,1.0,0.0,neutral,0.0,"@CaquilterHowell Maybe, kaepernick got away with disrespecting America.",8.0
8,140.0,2019-06-29 15:42:49,0.0,0.1,positive,0.5916666666666667,World Cup statement by Megan Rapinoe and US women heard loud and clear https://t.co/pyC4B5TrvU WELL KARMA WILL PROB… https://t.co/QYWkbAMl6F,19.0
9,126.0,2019-06-29 15:41:43,3.0,0.0,neutral,0.35714285714285715,@franklinleonard @mPinoe @Kaepernick7 Her protest has nothing to do with Kaepernick. She simply hates… https://t.co/zqXCHlvhLC,15.0
10,140.0,2019-06-29 15:38:03,4.0,0.3125,positive,0.25,@franklinleonard @soledadobrien @mPinoe @Kaepernick7 None of this so call NFL athletes are supporting her! Not even… https://t.co/ZYYbVBVn95,17.0
11,140.0,2019-06-29 15:27:49,1.0,-0.39999999999999997,negative,0.55,@mPinoe  After your stupid UnAmerican UnPatriotic Political Colen Kaepernick Rhetoric and now your comments about n… https://t.co/Pcb5U8WwoD,18.0
12,140.0,2019-06-29 15:26:05,2.0,0.2,positive,0.45,"@HoleePokes @DanWetzel The idea of kneeling was most prominently raised by Nate Boyer, a former Green Beret, who to… https://t.co/91aQMPPBdW",20.0
13,140.0,2019-06-29 15:25:32,0.0,0.033333333333333326,positive,0.9666666666666667,"Wow this is crazy I have no problem with the LGBTQ community but y’all couldn’t support Kaepernick, y’all own playe… https://t.co/8B1FCKosnn",21.0
14,84.0,2019-06-29 15:24:10,2.0,0.0,neutral,0.0,@ryan_landreth @TJCarpenterShow Him saying “Kevin Kaepernick” had me rolllllllllling,9.0
15,140.0,2019-06-29 15:20:58,1.0,-0.5,negative,0.875,"@BreitbartNews its never been done before...

a total nasty b makes a spectacle of herself, embarrasses a nation an… https://t.co/BaEQbAfFbB",19.0
16,93.0,2019-06-29 15:18:11,2.0,0.0,neutral,0.0,"@Defeoman @ChuckHowe78 In Kaepernick’s case, pissing off the customers while being paid $600k",13.0
17,140.0,2019-06-29 15:14:16,0.0,0.25,positive,0.3333333333333333,remember the Rapinoe was the first athlete to follow in Kaepernick's footsteps in kneeling during the national anth… https://t.co/E1G1UO1u83,19.0
18,127.0,2019-06-29 15:11:25,4.0,0.0,neutral,0.0,@nosleepdamon @ktshea02 @8by8mag @mPinoe It’s Kaepernick on sex change. Get used to losing! Trump will not be defeated in 2020.,20.0
19,140.0,2019-06-29 15:04:32,1.0,-0.025,negative,0.125,"@MLive Snoop dog, lebron james, drake, hell even collin kaepernick all flat out blocked my twitter messages. The on… https://t.co/5fnNUmpNhJ",20.0
